Elf Code,Electrolyte,CE (%),LCE,Solvent_1,Solvent_2,Solvent_3,Solvent_4,Solvent_5,Salt_1,Salt_2,Salt_3,Method,Current (mA/cm2),Capacity (mAh/cm2),Cycle,Reference
22,0.02 M Li2S5 0.15 M LiNO3 1 M LiTFSI DOL-DME (1:1 vol),95.00,1.301,COCCOC:4.81580115401687,O1CCOC1:7.15462080509733,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:1,[Li+].[N+](=O)([O-])[O-]:0.15,[Li+][S-]SSS[S-][Li+]:0.02,Cycle,0.5,0.5,100,11
23,0.1 M Li2S5 + 5% LiNO3 in 1 M LiTFSI in DOL/DME (1:1 vol),97.00,1.523,COCCOC:4.81580115401687,O1CCOC1:7.15462080509733,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:1,[Li+][S-]SSS[S-][Li+]:0.1,[Li+].[N+](=O)([O-])[O-]:0.7773,Cycle,1,1,230,11
24,1 M LiTFSI DME-DOL (1:1) 3% LiNO3,97.80,1.658,COCCOC:4.81580115401687,O1CCOC1:7.15462080509733,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:1,[Li+].[N+](=O)([O-])[O-]:0.466376390904693,,Cycle,0.5,1,350,12
25,3 M LiTFSI 3wt% LiNO3 DOL-DME (1:1 v),98.50,1.824,O1CCOC1:7.15462080509733,COCCOC:4.81580115401687,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:3,[Li+].[N+](=O)([O-])[O-]:0.466376390904693,,Cycle,0.5,1,350,12
26,2 M LiFSI 1 M LiTFSI 3wt% LiNO3 DOL-DME (1:1 v),99.10,2.046,O1CCOC1:7.15462080509733,COCCOC:4.81580115401687,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:2,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:1,,Cycle,0.5,1,450,12
27,1 M LiPF6 EC-EMC (3:7 wt) 2% wt VC,82.00,0.745,C1COC(=O)O1:3.690498261,CCOC(=O)OC:7.284217721,C1=COC(=O)O1:0.313785649536295,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,Aurbach,0.5,1,10,13
28,3.2 M LiFSI TEP,97.30,1.569,CCOP(=O)(OCC)OCC:5.88516247330541,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:3.2,,,Aurbach,0.5,1,10,13
29,1.2 M LiFSI TEP-BTFE (1:3 mol),99.20,2.097,CCOP(=O)(OCC)OCC:1.78903173093627,C(C(F)(F)F)OCC(F)(F)F:5.36709519280881,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.2,,,Aurbach,0.5,1,10,13
30,1 M LiPF6 in EC/DEC + 0.15 M LiDFP,95.20,1.319,C1COC(=O)O1:6.36806243016841,O=C(OCC)OCC:4.74717949484035,,,,[Li+].F[P-](F)(F)(F)(F)F:1,[Li+].[O-]P(=O)(F)F:0.15,,Aurbach,0.5,1,10,14
31,1 M LiPF6-EC/DEC (1:1 vol.) + 5 vol% FEC,95.00,1.301,C1COC(=O)O1:7.49471962935205,O=C(OCC)OCC:4.12680944721917,C1C(OC(=O)O1)F:0.685499839704302,,,[Li+].F[P-](F)(F)(F)(F)F:1,,,Cycle,0.5,0.5,100,15
32,1 M LiTFSI in DOL/DME with 5wt% TMS-FNFSI,97.30,1.569,COCCOC:4.81580115401687,O1CCOC1:7.15462080509733,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:1,C[Si](C)(C)N(S(F)(=O)=O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F:0.109705774575118,,Cycle,0.5,1,110,16
33,2 M LiTFSI 2M LiDFOB DME,94.60,1.268,COCCOC:9.63160230803373,,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:2,[Li+].[B-]1(OC(=O)C(=O)O1)(F)F:2,,Aurbach,0.5,1,10,17
34,3 M LiTFSI DME,95.70,1.367,COCCOC:9.63160230803373,,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:3,,,Aurbach,0.5,1,10,17
35,4 M LiFSI DME,99.10,2.046,COCCOC:9.63160230803373,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:4,,,Cycle,0.2,1,>500,18
36,4.5 M LiFSI/DME (1 : 1),99.22,2.108,COCCOC:9.63160230803373,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:4.5,,,Cycle,0.5,1,500,19
37,1.8 M LiFSI/DME (1 : 1) with HFME at 50% concentration,99.46,2.268,COCCOC:1,COC(C(F)(F)F)C(F)(F)F:0.7612,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,Cycle,0.5,1,500,19
38,2 M LiFSI 1 M LiTFSI DOL-DME (1:1 vol),98.60,1.854,O1CCOC1:7.15462080509733,COCCOC:4.81580115401687,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:2,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:1,,Cycle,0.5,0.8,200,20
39,1 M LiFSI 2 M LiTFSI DOL-DME (1:1 vol),98.70,1.886,O1CCOC1:7.15462080509733,COCCOC:4.81580115401687,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:2,,Cycle,0.5,1,200,20
40,1M LiTFPFB PC,80.60,0.712,CC1COC(=O)O1:11.7545646892877,,,,,[Li+].F[B-](F)(F)OC(C(F)(F)(F))(C(F)(F)(F))C(F)(F)(F):1,,,Cycle,0.5,1,50,21
41,2 M LiPF6 THF-MTHF (1:1 vol),99.20,2.097,C1CCOC1:6.15777210695662,O1C(C)CCC1:4.95762219900151,,,,[Li+].F[P-](F)(F)(F)(F)F:2,,,Cycle,0.5,1,100,22
42,5.5 M LiFSI DMC,99.20,2.097,COC(=O)OC:1.1,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,Aurbach,0.5,1,10,23
43,1.2 M LiFSI DMC-BTFE (1:2 mol),99.50,2.301,COC(=O)OC:1.1,C(C(F)(F)F)OCC(F)(F)F:2.2,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.51,,,Aurbach,0.5,1,10,23
44,3.25 M LiTFSI SL,96.50,1.456,O=S1(=O)CCCC1:10.4935549101682,,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:3.25,,,Cycle,0.5,1,100,24
45,3.25 M LiTFSI 0.1 M LiNO3 SL,98.50,1.824,O=S1(=O)CCCC1:10.4935549101682,,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:3.25,[Li+].[N+](=O)([O-])[O-]:0.1,,Cycle,0.5,1,100,24
46,1.3 M LiTFSI 0.04 M LiNO3 SL-D2 (1:2 wt),99.00,2.000,O=S1(=O)CCCC1:3.52285885417371,C(C(F)(F)F)OC(C(F)F)(F)F:4.93736834134811,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:1.3,[Li+].[N+](=O)([O-])[O-]:0.04,,Cycle,0.5,1,100,24
47,LiFSI DMC (1:1.5 mol),98.30,1.770,COC(=O)OC:1.5,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,Cycle,1,1,200,25
48,LiFSI DMC-TTE (1:1.5:1.5 mol),98.60,1.854,COC(=O)OC:1.5,FC(F)C(F)(F)COC(F)(F)C(F)F:1.5,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,Aurbach,0.5,1,10,25
49,3 M LiFNSI in DOL/DME,97.00,1.523,COCCOC:4.81580115401687,O1CCOC1:7.15462080509733,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F:3,,,Cycle,0.5,1.5,180,26
50,1 M LiTFSI in FDMA/FEC (1:1 by vol),99.30,2.155,CN(C)C(=O)C(F)(F)F:4.46498178570922,C1C(OC(=O)O1)F:6.85499839704302,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,Cycle,1,1,100,27
51,5 M LiTFSI 1-4 (EA-DCM vol),96.50,1.456,O=C(OCC)C:2.0475801325706,ClCCl:12.5276691941789,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:5,,,Cycle,0.2,0.5,50,28
52,0.47 M LiFSI DOL-BTFE (1:4 w/w),98.92,1.967,O1CCOC1:3.55956329211788,C(C(F)(F)F)OCC(F)(F)F:5.79299023580799,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.47,,,Aurbach,0.5,1,10,30
53,2.54 M LiFSI DME-BTFE (1:4 w/w),99.11,2.051,COCCOC:2.77333257598018,C(C(F)(F)F)OCC(F)(F)F:5.49085486504973,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:2.54,,,Aurbach,0.5,1,10,30
54,1.8 M LiFSI Diethyl Ether-BTFE (1:4 w/w),99.50,2.301,CCOCC:3.17394900618212,C(C(F)(F)F)OCC(F)(F)F:5.16835318639261,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.8,,,Aurbach,0.5,1,10,30
55,1 M LiFSI DME-TFEO (1.2:3 mol),99.50,2.301,COCCOC:1.57427821635861,FC(COC(OCC(F)(F)F)OCC(F)(F)F)(F)F:3.93019107160855,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,Aurbach,0.5,1,10,31
56,LiFSI-DME (1:1.2),99.10,2.046,COCCOC:1.2,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,Aurbach,0.5,1,10,32
57,LiFSI DME-TTE (1:1.2:3),99.30,2.155,COCCOC:1.2,FC(F)C(F)(F)COC(F)(F)C(F)F:3,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,Aurbach,0.5,1,10,32
58,1.28 M LiFSI FEC-FEMC-D2 ,99.40,2.222,C1C(OC(=O)O1)F:1.3709996794086,COC(=O)OCC(F)(F)F:1.69534413,C(C(F)(F)F)OC(C(F)F)(F)F:5.20283509277031,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.28,,,Cycle,2,2,100,33
59,1 M LiPF6 EC-DMC (1:1 v) 2% VC,80.00,0.699,C1COC(=O)O1:7.49471962935205,COC(=O)OC:5.9392970536646,C1=COC(=O)O1:0.313785649536295,,,[Li+].F[P-](F)(F)(F)(F)F:1,,,Cycle,0.6,0.44,50,34
60,1 M LiBF4 EC-DMC (1:1 v) 2% VC,80.00,0.699,C1COC(=O)O1:7.49471962935205,COC(=O)OC:5.9392970536646,C1=COC(=O)O1:0.313785649536295,,,[Li+].F[B-](F)(F)(F):1,,,Cycle,0.6,0.44,50,34
61,1 M LiTFSI EC-DMC (1:1 v) 2% VC,82.00,0.745,C1COC(=O)O1:7.49471962935205,COC(=O)OC:5.9392970536646,C1=COC(=O)O1:0.313785649536295,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:1,,,Cycle,0.6,0.44,50,34
62,1 M LiBETI EC-DMC (1:1 v) 2% VC,86.00,0.854,C1COC(=O)O1:7.49471962935205,COC(=O)OC:5.9392970536646,C1=COC(=O)O1:0.313785649536295,,,[Li+].C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F:1,,,Cycle,0.6,0.44,50,34
63,1.5 M LiAsF6-PC,85.00,0.824,CC1COC(=O)O1:11.7545646892877,,,,,[Li+].F[As-](F)(F)(F)(F)F:1.5,,,Cycle,1,1,,35
64,1 M LiPF6 EC-DMC (1:2 vol),86.00,0.854,C1COC(=O)O1:4.99148327314846,COC(=O)OC:7.92302226958858,,,,[Li+].F[P-](F)(F)(F)(F)F:1,,,Cycle,0.5,0.5,100,36
65,1 M LiPF6 EC-DMC (1:2 vol) 2v% TFEB,91.00,1.046,C1COC(=O)O1:4.99148327314846,COC(=O)OC:7.92302226958858,B(OCC(F)(F)F)(OCC(F)(F)F)OCC(F)(F)F:0.0928815695,,,[Li+].F[P-](F)(F)(F)(F)F:1,,,Cycle,0.5,0.5,100,36
66,1 M LiPF6 EC-DEC (3:7 wt),87.00,0.886,C1COC(=O)O1:3.6041191805762,O=C(OCC)OCC:6.26908660785945,,,,[Li+].F[P-](F)(F)(F)(F)F:1,,,Cycle,0.1,0.1,160,37
67,1 M LiDFOB EC-DEC (3:7 wt),95.00,1.301,C1COC(=O)O1:3.6041191805762,O=C(OCC)OCC:6.26908660785945,,,,[Li+].[B-]1(OC(=O)C(=O)O1)(F)F:1,,,Cycle,0.1,0.1,500,37
68,1 M LiPF6-EC/DEC (1:1 vol.),88.00,0.921,C1COC(=O)O1:7.49471962935205,O=C(OCC)OCC:4.12680944721917,,,,[Li+].F[P-](F)(F)(F)(F)F:1,,,Cycle,0.5,0.5,100,38
69,1 M LiPF6 FEC-DMC (1:1 v),91.78,1.085,C1C(OC(=O)O1)F:6.85499839704302,COC(=O)OC:5.9392970536646,,,,[Li+].F[P-](F)(F)(F)(F)F:1,,,Cycle,1,1,50,38
70,1 M LiFSI EC/DEC (v 1:1),93.00,1.155,C1COC(=O)O1:4.12680944721917,O=C(OCC)OCC:7.49471962935205,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,Aurbach,0.5,1,10,38
71,1 M LiPF6 FEC-DMC (1:1 v) 0.25wt% 12-Crown-4,94.05,1.225,C1C(OC(=O)O1)F:6.85499839704302,COC(=O)OC:5.9392970536646,O1CCOCCOCCOCC1:0.0200601703668392,,,[Li+].F[P-](F)(F)(F)(F)F:1,,,Cycle,1,1,50,38
72,1 M LiPF6 FEC-DMC (1:1 v) 2wt% 12-Crown-4,94.70,1.276,C1C(OC(=O)O1)F:6.85499839704302,COC(=O)OC:5.9392970536646,O1CCOCCOCCOCC1:0.160481362934714,,,[Li+].F[P-](F)(F)(F)(F)F:1,,,Cycle,1,1,50,38
73,1 M LiPF6 FEC-DMC (1:1 v) 1.75wt% 12-Crown-4,95.35,1.333,C1C(OC(=O)O1)F:6.85499839704302,COC(=O)OC:5.9392970536646,O1CCOCCOCCOCC1:0.140421192567874,,,[Li+].F[P-](F)(F)(F)(F)F:1,,,Cycle,1,1,50,38
74,1 M LiPF6 FEC-DMC (1:1 v) 1.5wt% 12-Crown-4,95.58,1.355,C1C(OC(=O)O1)F:6.85499839704302,COC(=O)OC:5.9392970536646,O1CCOCCOCCOCC1:0.120361022201035,,,[Li+].F[P-](F)(F)(F)(F)F:1,,,Cycle,1,1,50,38
75,1 M LiPF6 FEC-DMC (1:1 v) 0.5wt% 12-Crown-4,95.76,1.373,C1C(OC(=O)O1)F:6.85499839704302,COC(=O)OC:5.9392970536646,O1CCOCCOCCOCC1:0.0401203407336784,,,[Li+].F[P-](F)(F)(F)(F)F:1,,,Cycle,1,1,50,38
76,1 M LiPF6 FEC-DMC (1:1 v) 1.25wt% 12-Crown-4,96.75,1.488,C1C(OC(=O)O1)F:6.85499839704302,COC(=O)OC:5.9392970536646,O1CCOCCOCCOCC1:0.100300851834196,,,[Li+].F[P-](F)(F)(F)(F)F:1,,,Cycle,1,1,50,38
77,1 M LiPF6 FEC-DMC (1:1 v) 0.75wt% 12-Crown-4,96.82,1.498,C1C(OC(=O)O1)F:6.85499839704302,COC(=O)OC:5.9392970536646,O1CCOCCOCCOCC1:0.0601805111005176,,,[Li+].F[P-](F)(F)(F)(F)F:1,,,Cycle,1,1,50,38
78,1 M LiPF6 FEC-DMC (1:1 v) 1wt% 12-Crown-4,97.24,1.559,C1C(OC(=O)O1)F:6.85499839704302,COC(=O)OC:5.9392970536646,O1CCOCCOCCOCC1:0.0802406814673568,,,[Li+].F[P-](F)(F)(F)(F)F:1,,,Cycle,1,1,50,38
79,1 M LiPF6 FEC/DMC 1wt% 12-Crown-4,98.47,1.815,C1C(OC(=O)O1)F:6.85499839704302,COC(=O)OC:5.9392970536646,O1CCOCCOCCOCC1:0.0802406814673568,,,[Li+].F[P-](F)(F)(F)(F)F:1,,,Cycle,0.5,0.5,100,38
80,1 M LiPF6 FEC/DMC 0.5wt% 18-Crown-6,93.78,1.206,C1C(OC(=O)O1)F:6.85499839704302,COC(=O)OC:5.9392970536646,O1CCOCCOCCOCCOCCOCC1:0.0267468938224523,,,[Li+].F[P-](F)(F)(F)(F)F:1,,,Cycle,1,1,50,38
81,1 M LiPF6 FEC/DMC 1wt% 18-Crown-6,95.45,1.342,C1C(OC(=O)O1)F:6.85499839704302,COC(=O)OC:5.9392970536646,O1CCOCCOCCOCCOCCOCC1:0.0534937876449045,,,[Li+].F[P-](F)(F)(F)(F)F:1,,,Cycle,1,1,50,38
82,1 M LiPF6 EC/DMC 1.5wt% 12-Crown-4,85.11,0.827,C1COC(=O)O1:7.49471962935205,COC(=O)OC:5.9392970536646,O1CCOCCOCCOCC1:0.114657535412694,,,[Li+].F[P-](F)(F)(F)(F)F:1,,,Cycle,1,1,50,38
83,1 M LiPF6 EC/DMC 1.5wt% 18-Crown-6,86.53,0.871,C1COC(=O)O1:7.49471962935205,COC(=O)OC:5.9392970536646,O1CCOCCOCCOCCOCCOCC1:0.076438356941796,,,[Li+].F[P-](F)(F)(F)(F)F:1,,,Cycle,1,1,50,38
84,3.57 M LiTFSI DME,92.80,1.143,COCCOC:9.63160230803373,,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:3.57,,,Aurbach,1,1,12,40
85,0.84 M LiTFSI 2.7 M LiDFP DME,93.90,1.215,COCCOC:9.63160230803373,,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:0.84,[Li+].[O-]P(=O)(F)F:2.7,,Aurbach,1,1,12,40
86,0.11 M LiTFSI 3.9 M LiDFP DME,94.30,1.244,COCCOC:9.63160230803373,,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:0.11,[Li+].[O-]P(=O)(F)F:3.9,,Aurbach,1,1,12,40
87,2.2 M LiTFSI 0.8 M LiDFP DME,94.90,1.292,COCCOC:9.63160230803373,,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:2.2,[Li+].[O-]P(=O)(F)F:0.8,,Aurbach,1,1,12,40
88,1 M LiFSI in tetraglyme,94.00,1.222,COCCOCCOCCOCCOC:4.53940146484551,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,Cycle,0.1,0.2,30,42
89,1 M LiFSI in DEG-FTriEG,95.00,1.301,COCCOCCOCC(F)(F)OC(F)(F)OC(F)(F)COCCOCCOC:2.42792474637216,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,Cycle,0.1,0.2,30,42
90,1.5 M LiPF6 FEC-EMC-DMC (34.6:57.2:8.2 wt) ,95.00,1.301,C1C(OC(=O)O1)F:3.82000036255522,CCOC(=O)OC:6.04863215220908,COC(=O)OC:1.13369249854537,,,[Li+].F[P-](F)(F)(F)(F)F:1.5,,,Cycle,1,1,100,43
91,1.5 M LiPF6 FEC-EMC-DMC (34.6:57.2:8.2 wt) 1wt% TMSB,97.90,1.678,C1C(OC(=O)O1)F:3.82000036255522,CCOC(=O)OC:6.04863215220908,COC(=O)OC:1.13369249854537,C[Si](C)(C)OB(O[Si](C)(C)C)O[Si](C)(C)C:0.04817260856,,[Li+].F[P-](F)(F)(F)(F)F:1.5,,,Cycle,1,1,100,43
92,LiFSI-1.4DME-3TFEB,95.40,1.337,COCCOC:1.638,B(OCC(F)(F)F)(OCC(F)(F)F)OCC(F)(F)F:3.51,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.17,,,Aurbach,0.5,1,10,44
93,LiFSI-1.2DME-3TFEC,96.80,1.495,COCCOC:1.788,C(C(F)(F)F)OC(=O)OCC(F)(F)F:4.47,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.49,,,Aurbach,0.5,1,10,44
94,LiFSI-1.2DME-3BTFE,99.40,2.222,COCCOC:1.98,C(C(F)(F)F)OCC(F)(F)F:4.95,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.65,,,Aurbach,0.5,1,10,44
95,LiFSI-1.2DME-3TFEO,99.50,2.301,COCCOC:1.38,FC(COC(OCC(F)(F)F)OCC(F)(F)F)(F)F:3.45,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.15,,,Aurbach,0.5,1,10,44
96,1 M LiFSI THF,95.80,1.377,C1CCOC1:12.3155442139132,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,Cycle,1,1,40,45
97,"1 M LiFSI 1,4-DX",97.50,1.602,O1CCOCC1:10.3789288162146,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,Cycle,1,1,40,45
98,1 M LiFSI MeTHF,98.20,1.745,CC1CCC(C)O1:9.91524439800302,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,Cycle,1,1,40,45
